# Time-averaged data for fix agcmcstat
# TimeStep v_wiatt v_wiacc v_wdatt v_wdacc v_nacn v_nmob
181600 22717 0 22683 1 319 349
182000 22768 0 22732 1 319 349
182400 22810 0 22790 1 319 349
182800 22861 0 22839 1 319 349
183200 22916 0 22884 1 319 349
183600 22967 0 22933 1 319 349
184000 23015 0 22985 1 319 349
184400 23067 0 23033 1 319 349
184800 23116 0 23084 1 319 349
185200 23168 0 23132 1 319 349
185600 23220 0 23180 1 319 349
186000 23270 0 23230 1 319 349
186400 23318 0 23282 1 319 349
186800 23374 0 23326 1 319 349
187200 23428 0 23372 1 319 349
187600 23477 0 23423 1 319 349
188000 23521 0 23479 1 319 349
188400 23575 0 23525 1 319 349
188800 23624 0 23576 1 319 349
189200 23666 0 23634 1 319 349
189600 23717 0 23683 1 319 349
190000 23772 0 23728 1 319 349
190400 23819 0 23781 1 319 349
190800 23871 0 23829 1 319 349
191200 23921 0 23879 1 319 349
191600 23965 0 23935 1 319 349
192000 24015 0 23985 1 319 349
192400 24056 0 24044 1 319 349
192800 24106 0 24094 1 319 349
193200 24153 0 24147 1 319 349
193600 24208 0 24192 1 319 349
194000 24258 0 24242 1 319 349
194400 24308 0 24292 1 319 349
194800 24363 0 24337 1 319 349
195200 24413 0 24387 1 319 349
195600 24466 0 24434 1 319 349
196000 24508 0 24492 1 319 349
196400 24558 0 24542 1 319 349
196800 24608 0 24592 1 319 349
197200 24658 0 24642 1 319 349
197600 24705 0 24695 1 319 349
198000 24749 0 24751 1 319 349
198400 24803 0 24797 1 319 349
198800 24854 0 24846 1 319 349
199200 24905 0 24895 1 319 349
199600 24948 0 24952 1 319 349
200000 24998 0 25002 1 319 349
200400 25048 0 25052 1 319 349
200800 25094 0 25106 1 319 349
201200 25145 0 25155 1 319 349
201600 25189 0 25211 1 319 349
202000 25235 0 25265 1 319 349
202400 25285 0 25315 1 319 349
202800 25335 0 25365 1 319 349
203200 25385 0 25415 1 319 349
203600 25442 0 25458 1 319 349
204000 25495 0 25505 1 319 349
204400 25545 0 25555 1 319 349
204800 25597 0 25603 1 319 349
205200 25644 0 25656 1 319 349
205600 25694 0 25706 1 319 349
206000 25742 0 25758 1 319 349
206400 25797 0 25803 1 319 349
206800 25840 0 25860 1 319 349
207200 25896 0 25904 1 319 349
207600 25948 0 25952 1 319 349
208000 25984 0 26016 1 319 349
208400 26036 0 26064 1 319 349
208800 26089 0 26111 1 319 349
209200 26142 0 26158 1 319 349
209600 26199 0 26201 1 319 349
210000 26247 0 26253 1 319 349
210400 26290 0 26310 1 319 349
210800 26345 0 26355 1 319 349
211200 26403 0 26397 1 319 349
211600 26452 0 26448 1 319 349
212000 26499 0 26501 1 319 349
212400 26550 0 26550 1 319 349
212800 26594 0 26606 1 319 349
213200 26644 0 26656 1 319 349
213600 26693 0 26707 1 319 349
214000 26742 0 26758 1 319 349
214400 26790 0 26810 1 319 349
214800 26836 0 26864 1 319 349
215200 26894 0 26906 1 319 349
215600 26950 0 26950 1 319 349
216000 26998 0 27002 1 319 349
216400 27063 0 27037 1 319 349
216800 27114 0 27086 1 319 349
217200 27161 0 27139 1 319 349
217600 27210 0 27190 1 319 349
218000 27265 0 27235 1 319 349
218400 27310 0 27290 1 319 349
218800 27371 0 27329 1 319 349
219200 27413 0 27387 1 319 349
219600 27453 0 27447 1 319 349
220000 27503 0 27497 1 319 349
220400 27558 0 27542 1 319 349
220800 27606 0 27594 1 319 349
221200 27646 0 27654 1 319 349
221600 27705 0 27695 1 319 349
222000 27750 0 27750 1 319 349
222400 27798 0 27802 1 319 349
222800 27845 0 27855 1 319 349
223200 27897 0 27903 1 319 349
223600 27940 0 27960 1 319 349
224000 27987 0 28013 1 319 349
224400 28038 0 28062 1 319 349
224800 28086 0 28114 1 319 349
225200 28130 0 28170 1 319 349
225600 28182 0 28218 2 318 348
226000 28244 0 28256 2 318 348
226400 28295 0 28305 2 318 348
226800 28337 0 28363 2 318 348
227200 28385 0 28415 2 318 348
227600 28439 0 28461 2 318 348
228000 28497 0 28503 2 318 348
228400 28549 0 28551 2 318 348
228800 28605 0 28595 2 318 348
229200 28657 0 28643 2 318 348
229600 28705 0 28695 2 318 348
230000 28758 0 28742 2 318 348
230400 28805 0 28795 2 318 348
230800 28848 0 28852 2 318 348
231200 28901 0 28899 2 318 348
231600 28947 0 28953 2 318 348
232000 28991 0 29009 2 318 348
232400 29049 0 29051 2 318 348
232800 29091 0 29109 2 318 348
233200 29147 0 29153 2 318 348
233600 29201 0 29199 2 318 348
234000 29257 0 29243 2 318 348
234400 29312 0 29288 2 318 348
234800 29357 0 29343 2 318 348
235200 29415 0 29385 2 318 348
235600 29463 0 29437 2 318 348
236000 29508 0 29492 2 318 348
236400 29564 0 29536 2 318 348
236800 29611 0 29589 2 318 348
237200 29659 0 29641 2 318 348
237600 29711 0 29689 2 318 348
238000 29764 0 29736 2 318 348
238400 29806 0 29794 2 318 348
238800 29857 0 29843 2 318 348
239200 29901 0 29899 2 318 348
239600 29953 0 29947 2 318 348
240000 30003 0 29997 2 318 348
240400 30059 0 30041 2 318 348
240800 30104 0 30096 2 318 348
241200 30149 0 30151 2 318 348
241600 30207 0 30193 2 318 348
242000 30261 0 30239 2 318 348
242400 30310 0 30290 2 318 348
242800 30351 0 30349 2 318 348
243200 30404 0 30396 2 318 348
243600 30460 0 30440 2 318 348
244000 30512 0 30488 2 318 348
244400 30560 0 30540 2 318 348
244800 30614 0 30586 2 318 348
245200 30660 0 30640 3 317 347
245600 30714 0 30686 3 317 347
246000 30768 0 30732 3 317 347
246400 30820 0 30780 3 317 347
246800 30869 0 30831 3 317 347
247200 30921 0 30879 3 317 347
247600 30967 0 30933 4 316 346
248000 31019 0 30981 4 316 346
248400 31064 0 31036 4 316 346
248800 31115 0 31085 4 316 346
249200 31168 0 31132 4 316 346
249600 31215 0 31185 4 316 346
250000 31255 0 31245 4 316 346
250400 31313 0 31287 4 316 346
250800 31363 0 31337 4 316 346
251200 31407 0 31393 5 315 345
251600 31456 0 31444 5 315 345
252000 31505 0 31495 5 315 345
252400 31553 0 31547 5 315 345
252800 31592 0 31608 5 315 345
253200 31651 0 31649 5 315 345
253600 31698 0 31702 5 315 345
254000 31747 0 31753 5 315 345
254400 31795 0 31805 5 315 345
254800 31850 0 31850 5 315 345
255200 31892 0 31908 5 315 345
255600 31943 0 31957 5 315 345
256000 31987 0 32013 5 315 345
256400 32033 0 32067 5 315 345
256800 32087 0 32113 5 315 345
257200 32136 0 32164 5 315 345
257600 32182 0 32218 5 315 345
258000 32238 0 32262 5 315 345
258400 32287 0 32313 5 315 345
258800 32342 0 32358 5 315 345
259200 32395 0 32405 5 315 345
259600 32450 0 32450 5 315 345
260000 32494 0 32506 5 315 345
260400 32544 0 32556 5 315 345
260800 32599 0 32601 5 315 345
261200 32651 0 32649 5 315 345
261600 32704 0 32696 5 315 345
262000 32753 0 32747 5 315 345
262400 32805 0 32795 5 315 345
262800 32859 0 32841 5 315 345
263200 32903 0 32897 5 315 345
263600 32959 0 32941 5 315 345
264000 33010 0 32990 5 315 345
264400 33065 0 33035 5 315 345
264800 33120 0 33080 5 315 345
265200 33171 0 33129 5 315 345
265600 33224 0 33176 5 315 345
266000 33272 0 33228 5 315 345
266400 33323 0 33277 5 315 345
266800 33377 0 33323 5 315 345
267200 33429 0 33371 5 315 345
267600 33474 0 33426 5 315 345
268000 33524 0 33476 5 315 345
268400 33580 0 33520 5 315 345
268800 33633 0 33567 5 315 345
269200 33680 0 33620 5 315 345
269600 33732 0 33668 5 315 345
270000 33774 0 33726 5 315 345
270400 33830 0 33770 5 315 345
270800 33868 0 33832 5 315 345
271200 33924 0 33876 5 315 345
271600 33970 0 33930 5 315 345
272000 34013 0 33987 5 315 345
272400 34056 0 34044 5 315 345
272800 34106 0 34094 5 315 345
273200 34159 0 34141 5 315 345
273600 34210 0 34190 5 315 345
274000 34254 0 34246 5 315 345
274400 34311 0 34289 5 315 345
274800 34364 0 34336 5 315 345
275200 34412 0 34388 5 315 345
275600 34460 0 34440 5 315 345
276000 34512 0 34488 5 315 345
276400 34566 0 34534 5 315 345
276800 34621 0 34579 5 315 345
277200 34672 0 34628 5 315 345
277600 34727 0 34673 5 315 345
278000 34775 0 34725 5 315 345
278400 34826 0 34774 5 315 345
278800 34866 0 34834 5 315 345
279200 34915 0 34885 5 315 345
279600 34964 0 34936 5 315 345
280000 35012 0 34988 5 315 345
280400 35058 0 35042 5 315 345
280800 35105 0 35095 5 315 345
281200 35160 0 35140 5 315 345
281600 35211 0 35189 5 315 345
282000 35267 0 35233 5 315 345
