# Time-averaged data for fix cgcmcstat
# TimeStep v_ciatt v_ciacc v_cdatt v_cdacc v_nco2 v_nmob
210400 26412 2 26188 10 22 342
210800 26459 2 26241 10 22 342
211200 26496 2 26304 10 22 342
211600 26557 2 26343 10 22 342
212000 26607 2 26393 10 22 342
212400 26655 2 26445 10 22 342
212800 26707 2 26493 10 22 342
213200 26753 2 26547 10 22 342
213600 26812 2 26588 10 22 342
214000 26864 2 26636 10 22 342
214400 26913 2 26687 10 22 342
214800 26967 2 26733 10 22 342
215200 27024 2 26776 10 22 342
215600 27083 2 26817 10 22 342
216000 27132 2 26868 10 22 342
216400 27190 2 26910 10 22 342
216800 27234 2 26966 10 22 342
217200 27291 2 27009 10 22 342
217600 27344 2 27056 10 22 342
218000 27388 2 27112 10 22 342
218400 27436 2 27164 10 22 342
218800 27480 2 27220 10 22 342
219200 27536 2 27264 10 22 342
219600 27583 2 27317 10 22 342
220000 27633 2 27367 10 22 342
220400 27688 2 27412 10 22 342
220800 27742 2 27458 10 22 342
221200 27788 2 27512 10 22 342
221600 27842 2 27558 10 22 342
222000 27895 2 27605 10 22 342
222400 27947 2 27653 10 22 342
222800 27994 2 27706 10 22 342
223200 28045 2 27755 10 22 342
223600 28086 2 27814 10 22 342
224000 28135 2 27865 10 22 342
224400 28190 2 27910 10 22 342
224800 28237 2 27963 10 22 342
225200 28280 2 28020 10 22 342
225600 28325 2 28075 10 22 342
226000 28387 2 28113 10 22 342
226400 28437 2 28163 10 22 342
226800 28494 2 28206 10 22 342
227200 28548 2 28252 10 22 342
227600 28599 2 28301 10 22 342
228000 28647 2 28353 10 22 342
228400 28692 2 28408 10 22 342
228800 28748 2 28452 10 22 342
229200 28806 2 28494 10 22 342
229600 28852 2 28548 10 22 342
230000 28900 2 28600 10 22 342
230400 28946 2 28654 10 22 342
230800 28995 2 28705 10 22 342
231200 29041 2 28759 10 22 342
231600 29089 2 28811 10 22 342
232000 29142 2 28858 10 22 342
232400 29193 2 28907 11 21 341
232800 29245 2 28955 11 21 341
233200 29294 2 29006 11 21 341
233600 29337 2 29063 11 21 341
234000 29387 2 29113 11 21 341
234400 29444 2 29156 11 21 341
234800 29502 2 29198 11 21 341
235200 29551 2 29249 11 21 341
235600 29604 2 29296 11 21 341
236000 29656 2 29344 11 21 341
236400 29703 2 29397 11 21 341
236800 29757 2 29443 11 21 341
237200 29814 2 29486 11 21 341
237600 29861 2 29539 11 21 341
238000 29903 2 29597 11 21 341
238400 29943 2 29657 11 21 341
238800 29991 2 29709 11 21 341
239200 30050 2 29750 11 21 341
239600 30105 2 29795 11 21 341
240000 30149 2 29851 11 21 341
240400 30198 2 29902 11 21 341
240800 30249 2 29951 11 21 341
241200 30302 2 29998 11 21 341
241600 30356 2 30044 11 21 341
242000 30405 2 30095 11 21 341
242400 30453 2 30147 11 21 341
242800 30495 2 30205 11 21 341
243200 30536 2 30264 12 20 340
243600 30588 2 30312 12 20 340
244000 30637 2 30363 12 20 340
244400 30693 2 30407 12 20 340
244800 30745 2 30455 12 20 340
245200 30795 2 30505 12 20 340
245600 30846 2 30554 12 20 340
246000 30892 2 30608 12 20 340
246400 30945 2 30655 12 20 340
246800 30996 2 30704 12 20 340
247200 31040 2 30760 12 20 340
247600 31087 2 30813 12 20 340
248000 31137 2 30863 12 20 340
248400 31180 2 30920 12 20 340
248800 31226 2 30974 12 20 340
249200 31270 2 31030 12 20 340
249600 31315 2 31085 12 20 340
250000 31360 2 31140 12 20 340
250400 31411 2 31189 12 20 340
250800 31465 2 31235 12 20 340
251200 31511 2 31289 12 20 340
251600 31560 2 31340 12 20 340
252000 31615 2 31385 12 20 340
252400 31665 2 31435 12 20 340
252800 31715 2 31485 12 20 340
253200 31769 2 31531 12 20 340
253600 31819 2 31581 12 20 340
254000 31867 2 31633 12 20 340
254400 31913 2 31687 12 20 340
254800 31949 2 31751 12 20 340
255200 32001 2 31799 12 20 340
255600 32051 2 31849 12 20 340
256000 32093 2 31907 12 20 340
256400 32147 2 31953 12 20 340
256800 32199 2 32001 12 20 340
257200 32248 2 32052 12 20 340
257600 32298 2 32102 12 20 340
258000 32353 2 32147 12 20 340
258400 32398 2 32202 12 20 340
258800 32438 2 32262 12 20 340
259200 32492 2 32308 12 20 340
259600 32537 2 32363 12 20 340
260000 32585 2 32415 12 20 340
260400 32629 2 32471 12 20 339
260800 32674 2 32526 12 20 339
261200 32714 2 32586 12 20 339
261600 32769 2 32631 12 20 339
