# Time-averaged data for fix agcmcstat
# TimeStep v_wiatt v_wiacc v_wdatt v_wdacc v_nacn v_nmob
227200 28606 0 28194 0 320 342
227600 28650 0 28250 0 320 342
228000 28702 0 28298 0 320 342
228400 28754 0 28346 0 320 342
228800 28800 0 28400 0 320 342
229200 28847 0 28453 0 320 342
229600 28905 0 28495 0 320 342
230000 28950 0 28550 0 320 342
230400 28995 0 28605 0 320 342
230800 29044 0 28656 0 320 342
231200 29093 0 28707 0 320 342
231600 29137 0 28763 0 320 342
232000 29183 0 28817 0 320 342
232400 29236 0 28864 0 320 341
232800 29283 0 28917 0 320 341
233200 29333 0 28967 0 320 341
233600 29379 0 29021 0 320 341
234000 29434 0 29066 0 320 341
234400 29475 0 29125 0 320 341
234800 29517 0 29183 0 320 341
235200 29567 0 29233 0 320 341
235600 29603 0 29297 0 320 341
236000 29647 0 29353 0 320 341
236400 29691 0 29409 0 320 341
236800 29735 0 29465 0 320 341
237200 29785 0 29515 0 320 341
237600 29832 0 29568 0 320 341
238000 29894 0 29606 0 320 341
238400 29935 0 29665 0 320 341
238800 29986 0 29714 0 320 341
239200 30045 0 29755 0 320 341
239600 30091 0 29809 0 320 341
240000 30137 0 29863 0 320 341
240400 30184 0 29916 0 320 341
240800 30228 0 29972 0 320 341
241200 30280 0 30020 0 320 341
241600 30329 0 30071 0 320 341
242000 30375 0 30125 0 320 341
242400 30428 0 30172 0 320 341
242800 30485 0 30215 0 320 341
243200 30536 0 30264 0 320 340
243600 30582 0 30318 0 320 340
244000 30631 0 30369 0 320 340
244400 30688 0 30412 0 320 340
244800 30741 0 30459 0 320 340
245200 30791 0 30509 0 320 340
245600 30838 0 30562 0 320 340
246000 30887 0 30613 0 320 340
246400 30937 0 30663 0 320 340
246800 30986 0 30714 0 320 340
247200 31029 0 30771 0 320 340
247600 31081 0 30819 0 320 340
248000 31135 0 30865 0 320 340
248400 31182 0 30918 0 320 340
248800 31230 0 30970 0 320 340
249200 31278 0 31022 0 320 340
249600 31322 0 31078 0 320 340
250000 31372 0 31128 0 320 340
250400 31428 0 31172 0 320 340
250800 31473 0 31227 0 320 340
251200 31527 0 31273 0 320 340
251600 31576 0 31324 0 320 340
252000 31636 0 31364 0 320 340
252400 31682 0 31418 0 320 340
252800 31721 0 31479 0 320 340
253200 31757 0 31543 0 320 340
253600 31805 0 31595 0 320 340
254000 31862 0 31638 0 320 340
254400 31916 0 31684 0 320 340
254800 31968 0 31732 0 320 340
255200 32020 0 31780 0 320 340
255600 32072 0 31828 0 320 340
256000 32119 0 31881 0 320 340
256400 32164 0 31936 0 320 340
256800 32217 0 31983 0 320 340
257200 32265 0 32035 0 320 340
257600 32313 0 32087 0 320 340
258000 32372 0 32128 0 320 340
258400 32424 0 32176 0 320 340
258800 32471 0 32229 0 320 340
259200 32517 0 32283 0 320 340
259600 32574 0 32326 0 320 340
260000 32624 0 32376 0 320 340
260400 32673 0 32427 1 319 339
260800 32725 0 32475 1 319 339
261200 32770 0 32530 1 319 339
261600 32829 0 32571 1 319 339
262000 32874 0 32626 1 319 339
262400 32926 0 32674 1 319 339
262800 32982 0 32718 1 319 339
263200 33039 0 32761 1 319 339
263600 33091 0 32809 1 319 339
264000 33140 0 32860 1 319 339
264400 33185 0 32915 1 319 339
264800 33240 0 32960 1 319 339
265200 33292 0 33008 1 319 339
265600 33335 0 33065 1 319 339
266000 33382 0 33118 1 319 339
266400 33428 0 33172 1 319 339
266800 33481 0 33219 1 319 339
267200 33537 0 33263 1 319 339
267600 33594 0 33306 1 319 339
268000 33638 0 33362 1 319 339
268400 33698 0 33402 1 319 339
268800 33744 0 33456 1 319 339
269200 33788 0 33512 1 319 339
269600 33835 0 33565 1 319 339
270000 33883 0 33617 1 319 339
270400 33935 0 33665 1 319 339
270800 33984 0 33716 1 319 339
271200 34038 0 33762 1 319 339
271600 34091 0 33809 1 319 339
272000 34133 0 33867 1 319 339
272400 34187 0 33913 1 319 339
272800 34236 0 33964 1 319 339
273200 34284 0 34016 1 319 339
273600 34341 0 34059 1 319 339
274000 34400 0 34100 1 319 339
274400 34455 0 34145 1 319 339
274800 34504 0 34196 1 319 339
275200 34548 0 34252 1 319 339
275600 34601 0 34299 1 319 339
276000 34649 0 34351 1 319 339
276400 34700 0 34400 1 319 339
276800 34750 0 34450 1 319 339
277200 34798 0 34502 1 319 339
277600 34852 0 34548 1 319 339
278000 34905 0 34595 1 319 339
278400 34953 0 34647 1 319 339
278800 34999 0 34701 1 319 339
279200 35060 0 34740 1 319 339
279600 35108 0 34792 1 319 339
280000 35158 0 34842 1 319 339
280400 35204 0 34896 1 319 339
280800 35252 0 34948 1 319 339
281200 35296 0 35004 1 319 339
281600 35343 0 35057 1 319 339
282000 35392 0 35108 1 319 339
282400 35447 0 35153 1 319 339
282800 35506 0 35194 1 319 339
283200 35557 0 35243 1 319 339
283600 35599 0 35301 1 319 339
284000 35654 0 35346 1 319 339
284400 35699 0 35401 1 319 339
284800 35748 0 35452 1 319 339
